1	0	0	o
1	0	1	o
1	0	2	o
1	0	3	o
1	0	4	o
1	0	5	o
1	0	6	o
1	0	7	o

1	1	0	o
1	1	1	o
1	1	2	o
1	1	3	o
1	1	4	o
1	1	5	o
1	1	6	o
1	1	7	o
1	1	8	o
1	1	9	o
1	1	10	o
1	1	11	o
1	1	12	o

1	2	0	o
1	2	1	o
1	2	2	o
1	2	3	o
1	2	4	o
1	2	5	o
1	2	6	o
1	2	7	o
1	2	8	o
1	2	9	o

1	3	0	o
1	3	1	o
1	3	2	o
1	3	3	o
1	3	4	o
1	3	5	o
1	3	6	o
1	3	7	o
1	3	8	o
1	3	9	o
1	3	10	o
1	3	11	o
1	3	12	o
1	3	13	o

1	4	0	o
1	4	1	o
1	4	2	o
1	4	3	o
1	4	4	o
1	4	5	o
1	4	6	o
1	4	7	o
1	4	8	o

1	5	0	o
1	5	1	o
1	5	2	o
1	5	3	o
1	5	4	o
1	5	5	o
1	5	6	o
1	5	7	o
1	5	8	o
1	5	9	o
1	5	10	o
1	5	11	o
1	5	12	o
1	5	13	o
1	5	14	o
1	5	15	o

1	6	0	o
1	6	1	o
1	6	2	o
1	6	3	o
1	6	4	o
1	6	5	o
1	6	6	o
1	6	7	o
1	6	8	o
1	6	9	o
1	6	10	o
1	6	11	o
1	6	12	o
1	6	13	o

1	7	0	o
1	7	1	o
1	7	2	o
1	7	3	o
1	7	4	o
1	7	5	o
1	7	6	o
1	7	7	o
1	7	8	o
1	7	9	o
1	7	10	o
1	7	11	o
1	7	12	o

1	8	0	o
1	8	1	o
1	8	2	o
1	8	3	o
1	8	4	o
1	8	5	o
1	8	6	o
1	8	7	o
1	8	8	o
1	8	9	o
1	8	10	o
1	8	11	o
1	8	12	o
1	8	13	o
1	8	14	o

1	9	0	o
1	9	1	o
1	9	2	o
1	9	3	o
1	9	4	o
1	9	5	o
1	9	6	o
1	9	7	o
1	9	8	o

1	10	0	o
1	10	1	o
1	10	2	o
1	10	3	o
1	10	4	o
1	10	5	o
1	10	6	o
1	10	7	o
1	10	8	o
1	10	9	o
1	10	10	o
1	10	11	o
1	10	12	o
1	10	13	o
1	10	14	o
1	10	15	o
1	10	16	o

1	0	0	o
1	0	1	o
1	0	2	o
1	0	3	o
1	0	4	o
1	0	5	o
1	0	6	o
1	0	7	o
1	0	8	o
1	0	9	o

1	1	0	o
1	1	1	o
1	1	2	B-EVENT
1	1	3	I-EVENT
1	1	4	I-EVENT
1	1	5	I-EVENT
1	1	6	I-EVENT
1	1	7	I-EVENT
1	1	8	I-EVENT
1	1	9	I-EVENT
1	1	10	I-EVENT
1	1	11	I-EVENT
1	1	12	I-EVENT
1	1	13	I-EVENT
1	1	14	I-EVENT
1	1	15	I-EVENT
1	1	16	I-EVENT
1	1	17	I-EVENT
1	1	18	I-EVENT
1	1	19	I-EVENT
1	1	20	I-EVENT
1	1	21	I-EVENT
1	1	22	I-EVENT

1	2	0	o
1	2	1	o
1	2	2	o
1	2	3	o
1	2	4	o
1	2	5	o
1	2	6	o
1	2	7	o
1	2	8	o
1	2	9	o
1	2	10	o
1	2	11	o
1	2	12	o
1	2	13	o

1	3	0	o
1	3	1	o
1	3	2	o
1	3	3	o
1	3	4	o
1	3	5	o
1	3	6	o
1	3	7	o
1	3	8	o
1	3	9	o
1	3	10	o
1	3	11	o
1	3	12	o

1	4	0	o
1	4	1	o
1	4	2	o
1	4	3	o
1	4	4	o
1	4	5	o
1	4	6	o
1	4	7	o
1	4	8	o
1	4	9	o
1	4	10	o
1	4	11	o
1	4	12	o
1	4	13	o
1	4	14	o
1	4	15	o
1	4	16	o

1	5	0	o
1	5	1	o
1	5	2	o
1	5	3	o
1	5	4	o
1	5	5	o
1	5	6	o
1	5	7	o
1	5	8	o
1	5	9	o
1	5	10	o
1	5	11	o
1	5	12	o
1	5	13	o

1	6	0	o
1	6	1	o
1	6	2	o
1	6	3	o
1	6	4	o
1	6	5	o
1	6	6	o
1	6	7	o
1	6	8	o
1	6	9	o
1	6	10	o
1	6	11	o
1	6	12	o
1	6	13	o

1	7	0	o
1	7	1	o
1	7	2	o
1	7	3	o
1	7	4	o
1	7	5	o
1	7	6	o
1	7	7	o

1	8	0	o
1	8	1	o
1	8	2	B-EVENT
1	8	3	I-EVENT
1	8	4	I-EVENT
1	8	5	I-EVENT
1	8	6	I-EVENT
1	8	7	I-EVENT
1	8	8	I-EVENT
1	8	9	I-EVENT
1	8	10	I-EVENT
1	8	11	I-EVENT
1	8	12	I-EVENT
1	8	13	I-EVENT
1	8	14	I-EVENT
1	8	15	I-EVENT
1	8	16	I-EVENT
1	8	17	I-EVENT
1	8	18	I-EVENT
1	8	19	I-EVENT
1	8	20	I-EVENT

1	9	0	o
1	9	1	o
1	9	2	o
1	9	3	o
1	9	4	o
1	9	5	o
1	9	6	o
1	9	7	o
1	9	8	o

1	10	0	o
1	10	1	o
1	10	2	o
1	10	3	o
1	10	4	o
1	10	5	o
1	10	6	o
1	10	7	o
1	10	8	o
1	10	9	o

1	11	0	o
1	11	1	o
1	11	2	o
1	11	3	o
1	11	4	o
1	11	5	o
1	11	6	o

1	12	0	o
1	12	1	o
1	12	2	o
1	12	3	o
1	12	4	o
1	12	5	o
1	12	6	o

1	13	0	o
1	13	1	o
1	13	2	o
1	13	3	o

1	14	0	o
1	14	1	o
1	14	2	o
1	14	3	o
1	14	4	o
1	14	5	o
1	14	6	o
1	14	7	o
1	14	8	o
1	14	9	o
1	14	10	o
1	14	11	o

1	15	0	o
1	15	1	o
1	15	2	o
1	15	3	o
1	15	4	o
1	15	5	o
1	15	6	o
1	15	7	o
1	15	8	o
1	15	9	o
1	15	10	o

1	16	0	o
1	16	1	o
1	16	2	o
1	16	3	o
1	16	4	o

1	17	0	o
1	17	1	o
1	17	2	o
1	17	3	o
1	17	4	o
1	17	5	o
1	17	6	o
1	17	7	o
1	17	8	o

1	18	0	o
1	18	1	o
1	18	2	o
1	18	3	o

