ஙுந்ச்டிஓந்	N_NNP	B-NP	function,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
இங்	N_NNP	I-NP	if,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

இஸ்	N_NNP	B-NP	is,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
:	RD_PUNC	I-NP	:,punc,,,,,,	o
ஹிddஏந்	N_NNP	B-NP	hidden,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸ்ஹோத்	N_NNP	B-NP	show,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
ஏல்ஸே	RD_RDF	I-NP	else,unk,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஹேஅdஏர்-ஸேஅர்ச்ஹ்	N_NNP	B-NP	header-search,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸோசிஅல்-ஸ்ஹரே	N_NNP	B-NP	social-share,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸ்ஹோத்	N_NN	B-NP	show,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லந்gஉஅgஏஸ்	N_NNP	B-NP	languages,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
ரேடுர்ந்	N_NNP	B-NP	return,unk,,,,,,	o
ஙல்ஸே	N_NN	I-NP	false,unk,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
dஓசுமேந்ட்	N_NNP	I-NP	document,unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o

ஓந்	RP_INJ	B-NP	on,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
ச்லிச்க்	N_NN	I-NP	click,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
'	RD_SYM	B-NP	',punc,,,,,,	o
அ	RP_INJ	I-NP	A,N,a-ADJ,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸேஅர்ச்ஹ்	N_NNP	B-NP	search,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	B-NP	function,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஹேஅdஏர்-ஸேஅர்ச்ஹ்	N_NNP	B-NP	header-search,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

டோggலே	N_NNP	B-NP	toggle,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_PUNC	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸ்ஹோத்	N_NN	B-NP	show,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லந்gஉஅgஏஸ்	N_NNP	B-NP	languages,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
dஓசுமேந்ட்	N_NNP	I-NP	document,unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o

ஓந்	RP_INJ	B-NP	on,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
ச்லிச்க்	N_NN	I-NP	click,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
'	RD_SYM	B-NP	',punc,,,,,,	o
அ	RP_INJ	I-NP	A,N,a-ADJ,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸோசிஅல்	N_NN	B-NP	social,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ஸ்ஹரே	N_NNP	B-NP	share,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	B-NP	function,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸோசிஅல்-ஸ்ஹரே	N_NNP	B-NP	social-share,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

டோggலே	N_NNP	B-NP	toggle,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஹேஅdஏர்-ஸேஅர்ச்ஹ்	N_NNP	B-NP	header-search,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_PUNC	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸ்ஹோத்	N_NN	B-NP	show,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லந்gஉஅgஏஸ்	N_NNP	B-NP	languages,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
dஓசுமேந்ட்	N_NNP	I-NP	document,unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o

ஓந்	RP_INJ	B-NP	on,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
ச்லிச்க்	N_NN	I-NP	click,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

லந்gஉஅgஏ-லிந்க்ஸ்	N_NNP	B-NP	language-links,unk,,,,,,	o
அ.லந்g	N_NNP	I-NP	a.lang,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ஸேலேச்டேd	N_NNP	B-NP	selected,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
,	RD_PUNC	I-NP	&comma;,punc,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	B-NP	function,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸ்ஹோத்	N_NN	B-NP	show,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லந்gஉஅgஏஸ்	N_NNP	B-NP	languages,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

டோggலே	N_NNP	B-NP	toggle,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸோசிஅல்-ஸ்ஹரே	N_NNP	B-NP	social-share,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஹேஅdஏர்-ஸேஅர்ச்ஹ்	N_NNP	B-NP	header-search,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_PUNC	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
"	RD_SYM	I-NP	",punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ச்லிச்க்	N_NNP	B-NP	click,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	I-NP	function,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
ஏ.ஸ்டோப்Pரோபgஅடிஓந்	N_NNP	I-NP	e.stopPropagation,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
அ	RD_SYM	I-NP	A,N,a-ADJ,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸோசிஅல்	N_NN	B-NP	social,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ஸ்ஹரே	N_NNP	B-NP	share,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ச்லிச்க்	N_NNP	B-NP	click,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	I-NP	function,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
ஏ.ஸ்டோப்Pரோபgஅடிஓந்	N_NNP	I-NP	e.stopPropagation,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
அ	RD_SYM	I-NP	A,N,a-ADJ,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஸேஅர்ச்ஹ்	N_NNP	B-NP	search,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o

ச்லிச்க்	N_NNP	B-NP	click,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	I-NP	function,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
ஏ.ஸ்டோப்Pரோபgஅடிஓந்	N_NNP	I-NP	e.stopPropagation,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

லந்gஉஅgஏ-லிந்க்ஸ்	N_NNP	B-NP	language-links,unk,,,,,,	o
அ.லந்g	N_NNP	I-NP	a.lang,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
ஸேலேச்டேd	N_NNP	B-NP	selected,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.ச்லிச்க்	RD_RDF	B-NP	click,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	I-NP	function,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
ஏ	RD_RDF	I-NP	e,N,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
ஏ.ஸ்டோப்Pரோபgஅடிஓந்	N_NNP	I-NP	e.stopPropagation,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
dஓசுமேந்ட்	N_NNP	I-NP	document,unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ச்லிச்க்	N_NNP	B-NP	click,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
ஙுந்ச்டிஓந்	N_NNP	I-NP	function,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
{	RD_SYM	I-NP	{,unk,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ப்ரிமர்ய்	N_NN	B-NP	primary,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லிந்க்ஸ்	N_NNP	B-NP	links,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸோசிஅல்-ஸ்ஹரே	N_NNP	B-NP	social-share,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
bலோச்க்	RD_RDF	B-NP	block,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	o
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
$	RD_SYM	I-NP	$,unk,,,,,,	o
(	RD_SYM	B-NP	(,punc,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o

ஸ்ஹோத்	N_NN	B-NP	show,unk,,,,,,	o
-	RD_SYM	I-NP	-,punc,,,,,,	o
லந்gஉஅgஏஸ்	N_NNP	B-NP	languages,unk,,,,,,	o
'	RD_SYM	I-NP	',punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
.	RD_PUNC	I-NP	&dot;,punc,,,,,,	o

ஹிdஏ	N_NNP	B-NP	hide,unk,,,,,,	{MCL}
(	RD_SYM	I-NP	(,punc,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
}	RD_SYM	I-NP	},unk,,,,,,	o
)	RD_SYM	I-NP	),punc,,,,,,	o
;	RD_PUNC	I-NP	;,punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
/	RD_PUNC	I-NP	/,punc,,,,,,	o
Cஓdஏ	N_NNP	B-NP	Code,unk,,,,,,	o
ஙோர்	N_NNP	I-NP	for,unk,,,,,,	o
ஹேஅdஏர்	N_NNP	I-NP	header,unk,,,,,,	o
